Date,Type,URL_found,Malicious_URL,Account,TweetURL,Threat_category,Tweet
09/26/2023,URL,hxxps://bananagun.co/,https://bananagun.co/,@CertiKAlert,https://twitter.com/CertiKAlert/status/1706619338822709286,Phishing URL,#CertiKSkynetAlert 🚨  Beware of a fake Banana Gun airdrop being promoted on X  Do not interact with hxxps://bananagun.co/  Site connects to a wallet drainer.   https://t.co/sdfiEPLLxq
09/14/2023,URL,hxxp://join.help-layerzero.network,http://join.help-layerzero.network,@DeDotFiSecurity,https://twitter.com/DeDotFiSecurity/status/1702266729462649235,Phishing URL,🚨 SCAM ALERT 🚨  ⚠️ Beware of ongoing scam on X promoting fake Layer Zero airdrop phishing website.  ❌ Do NOT interact with hxxp://join.help-layerzero.network   🔗 This site is linked to a phishing contract that drains your assets https://t.co/ayTHDc7pJ0
09/20/2023,URL,hxxps://ehcgf.top/,https://ehcgf.top/,@CertiKAlert,https://twitter.com/CertiKAlert/status/1704646503677992984,Phishing URL,"#CertiKSkynetAlert 🚨  We have another fake audit claim!  We can confirm that hxxps://ehcgf.top/ is not associated with CertiK.  Their website includes a false claim of being audited by CertiK, which is not true.  Always check https://t.co/59PPqxO2zv for audited projects!"
09/22/2023,URL,hxxps://apyeth.net,https://apyeth.net,@CertiKAlert,https://twitter.com/CertiKAlert/status/1705188286656901432,Phishing URL,#CertiKSkynetAlert 🚨  We have seen another fake airdrop directing users to a phishing site  Do not interact with hxxps://apyeth.net  Site connects to the same wallet (0x634)  https://t.co/Ez4lFxIBvy
09/23/2023,URL,hxxps://urgentdt.com/,https://urgentdt.com/,@CertiKAlert,https://twitter.com/CertiKAlert/status/1705617029758107694,Phishing URL,#CertiKSkynetAlert 🚨  We have detected a scam airdrop which points users to a phishing site.  Do not interact with hxxps://urgentdt.com/  Stay safe! https://t.co/1L32ub4msG
09/23/2023,URL,hxxps://ethapy.org/,https://ethapy.org/,@CertiKAlert,https://twitter.com/CertiKAlert/status/1705514555571310711,Phishing URL,#CertiKSkynetAlert 🚨  We have detected a scam airdrop which points users to a phishing site   Do not interact with hxxps://ethapy.org/   Site falsely claims to be audited by CertiK  https://t.co/Y8FGs609ez
09/22/2023,URL,hxxps://timesoul.org/,https://timesoul.org/,@CertiKAlert,https://twitter.com/CertiKAlert/status/1705369638740046060,Phishing URL,#CertiKSkynetAlert 🚨   A phishing link has been posted in the announcements channel of @timesoulcom Discord server.   Do not interact with hxxps://timesoul.org/    Stay vigilant! https://t.co/LHqq48MJjD
09/28/2023,URL,hxxps://claim.thetipcoin.group/,https://claim.thetipcoin.group/,@CertiKAlert,https://twitter.com/CertiKAlert/status/1707324175013007752,Phishing URL,#CertiKSkynetAlert 🚨  Beware of a fake tip coin airdrop being promoted on X  Do not interact with hxxps://claim.thetipcoin.group/  Site connects to a wallet drainer. https://t.co/8aTMnfQl9e
09/27/2023,URL,hxxps://spacecha.in/,https://spacecha.in/,@CertiKAlert,https://twitter.com/CertiKAlert/status/1706920549094445422,Phishing URL,@SpaceChain Do NOT interact with the following announcement👇 the link will take you to hxxps://spacecha.in/ which connects to a known wallet drainer https://t.co/H1SE7iYLQA
10/10/2023,URL,hxxps://gravicats.xyz/,https://gravicats.xyz/,@CertiKAlert,https://twitter.com/CertiKAlert/status/1711726075372253660,Phishing URL,#CertiKSkynetAlert 🚨  A phishing link has been posted in @crypto_preneurs Discord server  Do not interact with hxxps://gravicats.xyz/ or any other links until the team confirms the server has been secured.  https://t.co/lZ9RD5gwOt
10/10/2023,URL,hxxps://arb.base-eth.net/?invite=twitter,https://arb.base-eth.net/?invite=twitter,@CertiKAlert,https://twitter.com/CertiKAlert/status/1711891602271056350,Phishing URL,#CertiKSkynetAlert 🚨  Beware of a fake Arbitrum airdrop posted on social media   Do not interact with hxxps://arb.base-eth.net/?invite=twitter  Stay vigilant! https://t.co/TqRAR3nrbi
10/09/2023,URL,hxxps://www.xend.fi/,https://www.xend.fi/,@CertiKAlert,https://twitter.com/CertiKAlert/status/1711364245130977788,Phishing URL,#CertiKSkynetAlert 🚨  We have detected a scam airdrop that points users to a phishing site  Token encourages users to visit hxxps://www.xend.fi/  Do not interact with this URL.  https://t.co/T7W4fDQT67
